ingredient,units
water,"milliliters, cups, tablespoons"
sugar,"grams, cups, pieces"
salt,"grams, cups, pieces"
flour,"grams, cups, pieces"
eggs,pieces
milk,"milliliters, cups, tablespoons"
butter,"grams, cups, pieces"
olive oil,"milliliters, cups, tablespoons"
garlic,"grams, cups, pieces"
onion,"grams, cups, pieces"
tomato,"grams, cups, pieces"
chicken,"grams, cups, pieces"
beef,"grams, cups, pieces"
pork,"grams, cups, pieces"
rice,"grams, cups, pieces"
pasta,"grams, cups, pieces"
potatoes,"grams, cups, pieces"
carrots,"grams, cups, pieces"
bell pepper,"grams, cups, pieces"
lemon,"grams, cups, pieces"
vinegar,"milliliters, cups, tablespoons"
soy sauce,"milliliters, cups, tablespoons"
honey,"grams, cups, pieces"
cinnamon,"teaspoons, tablespoons"
pepper,"teaspoons, tablespoons"
chocolate,"grams, cups, pieces"
vanilla extract,"grams, cups, pieces"
baking powder,"grams, cups, pieces"
yeast,"grams, cups, pieces"
cheese,"grams, cups, pieces"
yogurt,"grams, cups, pieces"
cream,"grams, cups, pieces"
cilantro,"grams, cups, pieces"
parsley,"grams, cups, pieces"
basil,"grams, cups, pieces"
spinach,"grams, cups, pieces"
lettuce,"grams, cups, pieces"
cucumber,"grams, cups, pieces"
broccoli,"grams, cups, pieces"
cauliflower,"grams, cups, pieces"
corn,"grams, cups, pieces"
peas,"grams, cups, pieces"
beans,"grams, cups, pieces"
lentils,"grams, cups, pieces"
oats,"grams, cups, pieces"
quinoa,"grams, cups, pieces"
almonds,"grams, cups, pieces"
peanuts,"grams, cups, pieces"
walnuts,"grams, cups, pieces"
apple,"grams, cups, pieces"
banana,"grams, cups, pieces"
strawberry,"grams, cups, pieces"
blueberry,"grams, cups, pieces"
orange,"grams, cups, pieces"
pineapple,"grams, cups, pieces"
avocado,"grams, cups, pieces"
mushrooms,"grams, cups, pieces"
zucchini,"grams, cups, pieces"
eggplant,"grams, cups, pieces"
sardines,"grams, cups, pieces"
tuna,"grams, cups, pieces"
salmon,"grams, cups, pieces"
shrimp,"grams, cups, pieces"
rosemary,"grams, cups, pieces"
thyme,"grams, cups, pieces"
oregano,"grams, cups, pieces"
bay leaf,"teaspoons, tablespoons"
nutmeg,"teaspoons, tablespoons"
ginger,"teaspoons, tablespoons"
turmeric,"teaspoons, tablespoons"
cumin,"teaspoons, tablespoons"
paprika,"teaspoons, tablespoons"
chili powder,"teaspoons, tablespoons"
mustard,"grams, cups, pieces"
ketchup,"milliliters, cups, tablespoons"
mayonnaise,"milliliters, cups, tablespoons"
tomato paste,"grams, cups, pieces"
tomato sauce,"milliliters, cups, tablespoons"
chicken broth,"milliliters, cups, tablespoons"
beef broth,"milliliters, cups, tablespoons"
coconut milk,"milliliters, cups, tablespoons"
bread,"grams, cups, pieces"
cocoa powder,"grams, cups, pieces"
baking soda,"grams, cups, pieces"
maple syrup,"milliliters, cups, tablespoons"
jam,"grams, cups, pieces"
pickle,"grams, cups, pieces"
jam,"grams, cups, pieces"
dried cranberries,"grams, cups, pieces"
green beans,"grams, cups, pieces"
peaches,"grams, cups, pieces"
tofu,"grams, cups, pieces"
miso,"grams, cups, pieces"
custard,"grams, cups, pieces"
cream cheese,"grams, cups, pieces"
cream,"grams, cups, pieces"
lettuce,"grams, cups, pieces"
spinach,"grams, cups, pieces"
kale,"grams, cups, pieces"
green peppers,"grams, cups, pieces"
